,head
40,"{'pos': [-3.627260294500236, -0.48199891586231264, 5.603940955890262]}"
41,"{'pos': [-3.6223325444026164, -0.4837138215098292, 5.605348440250239]}"
42,"{'pos': [-3.61787173760493, -0.4860123167349081, 5.607775959715273]}"
43,"{'pos': [-3.613903090912751, -0.4889707134056963, 5.610560682236967]}"
44,"{'pos': [-3.610142939747219, -0.49273066334818716, 5.613114640505398]}"
45,"{'pos': [-3.60644390010008, -0.49704943653004524, 5.614721641671919]}"
46,"{'pos': [-3.602706106816203, -0.5012006344980785, 5.615110908635509]}"
47,"{'pos': [-3.598729932096517, -0.5046994375982481, 5.614672751622465]}"
48,"{'pos': [-3.5945962348852016, -0.5072794686098783, 5.613670424120421]}"
49,"{'pos': [-3.5902890029070598, -0.5091347309729094, 5.6123680370548366]}"
50,"{'pos': [-3.5859634335228114, -0.5110070302672078, 5.611148557394718]}"
51,"{'pos': [-3.581774351866253, -0.5133673797653533, 5.610230645936235]}"
52,"{'pos': [-3.5777484102360275, -0.5162305807955755, 5.609888197712759]}"
53,"{'pos': [-3.5735755418102557, -0.5193732119223412, 5.610144285130424]}"
54,"{'pos': [-3.568953688600456, -0.5228174805808251, 5.610929776284476]}"
55,"{'pos': [-3.5636472760654634, -0.5263996472053599, 5.6123531798902695]}"
56,"{'pos': [-3.5577799123739253, -0.5295045892119746, 5.614000952854542]}"
57,"{'pos': [-3.5516541518139975, -0.5320311697561628, 5.615427555927262]}"
58,"{'pos': [-3.54599082130436, -0.5342191288239552, 5.616462066920853]}"
59,"{'pos': [-3.5417602417446394, -0.53590436380524, 5.616864879230092]}"
60,"{'pos': [-3.539184579215491, -0.5368600231090399, 5.616474223769897]}"
61,"{'pos': [-3.537350422269, -0.5373022777768056, 5.61528186701593]}"
62,"{'pos': [-3.5353684025022036, -0.537833182264951, 5.613708094303895]}"
63,"{'pos': [-3.5325542307869298, -0.5388309872488868, 5.612423230642589]}"
64,"{'pos': [-3.52843309930612, -0.5403162643850612, 5.611651206469426]}"
65,"{'pos': [-3.5232027935645345, -0.5424296186327902, 5.611641932957238]}"
66,"{'pos': [-3.5179325567205844, -0.5450280733825041, 5.612641197751024]}"
67,"{'pos': [-3.5139694383143345, -0.5477367617467944, 5.614547158935204]}"
68,"{'pos': [-3.5115965153593014, -0.5501887448416892, 5.6167557527630425]}"
69,"{'pos': [-3.510207941324811, -0.552367838158739, 5.618773914205467]}"
70,"{'pos': [-3.5088033834781505, -0.5543603845553944, 5.620743910311405]}"
71,"{'pos': [-3.506638312018875, -0.556197656391478, 5.622812205948156]}"
72,"{'pos': [-3.503025313628639, -0.5580458581319738, 5.625094768079678]}"
73,"{'pos': [-3.4979926160713664, -0.5599855556400956, 5.627760191952334]}"
74,"{'pos': [-3.4923817437591356, -0.5615872678377141, 5.630655928988912]}"
75,"{'pos': [-3.4870873035717396, -0.5630127591444222, 5.633159024301449]}"
76,"{'pos': [-3.482782134106914, -0.5642192993643765, 5.634588752980163]}"
77,"{'pos': [-3.479637214670795, -0.565318415742919, 5.634559118086587]}"
78,"{'pos': [-3.4768674925402783, -0.5667484441392607, 5.6332810448367345]}"
79,"{'pos': [-3.474155873173721, -0.5687473030154667, 5.631515971923587]}"
80,"{'pos': [-3.4711526335237375, -0.5718928997408048, 5.630429136063241]}"
81,"{'pos': [-3.467753030891199, -0.5758825233044473, 5.630793709747504]}"
82,"{'pos': [-3.463728225506895, -0.5798052727401899, 5.632707697492232]}"
83,"{'pos': [-3.4588334356345007, -0.5834311847039056, 5.635497817533801]}"
84,"{'pos': [-3.4534476114358097, -0.5862667447156801, 5.638500506121049]}"
85,"{'pos': [-3.4476563716452344, -0.588240954402244, 5.640857650663379]}"
86,"{'pos': [-3.441213269602046, -0.589830669912911, 5.6421793002461875]}"
87,"{'pos': [-3.434552697356249, -0.5912514056269824, 5.642835276833662]}"
88,"{'pos': [-3.428540402428684, -0.5929045500086332, 5.643326825406414]}"
89,"{'pos': [-3.423914893492343, -0.5946879285924124, 5.643966403835596]}"
90,"{'pos': [-3.4204257260653104, -0.5964446011105411, 5.645126698329467]}"
91,"{'pos': [-3.417461366489576, -0.5983217576763066, 5.6467305339330505]}"
92,"{'pos': [-3.4145482650023227, -0.6006161734017692, 5.6485352496858985]}"
93,"{'pos': [-3.411137697101108, -0.6034234967770782, 5.650149564780569]}"
94,"{'pos': [-3.406463190870805, -0.606609329882322, 5.651383924935213]}"
95,"{'pos': [-3.400678394968212, -0.6093867551051465, 5.652330285534544]}"
96,"{'pos': [-3.3947559770656537, -0.6106322807637021, 5.652840626585082]}"
97,"{'pos': [-3.3894215216107426, -0.6096410975788957, 5.652883370932794]}"
98,"{'pos': [-3.3848578037792385, -0.6067686150320258, 5.653018031574875]}"
99,"{'pos': [-3.3809020429909515, -0.6032077396176491, 5.653681446569328]}"
100,"{'pos': [-3.377446484293018, -0.6003716465259239, 5.655137349072141]}"
101,"{'pos': [-3.3743122772192056, -0.5990314252843881, 5.657448388925629]}"
102,"{'pos': [-3.370652509944348, -0.5995764049132795, 5.660362587850216]}"
103,"{'pos': [-3.3663005512264896, -0.6016649065871861, 5.663710121788768]}"
104,"{'pos': [-3.3611590676190484, -0.6039808602637041, 5.666894480188108]}"
105,"{'pos': [-3.355113656178325, -0.6052941769674185, 5.66956467497671]}"
106,"{'pos': [-3.3483998272694624, -0.6052538193290852, 5.671852155928611]}"
107,"{'pos': [-3.341478649047493, -0.6038838003692104, 5.674063333108142]}"
108,"{'pos': [-3.335279703908404, -0.601175717077342, 5.676561908730786]}"
109,"{'pos': [-3.330468710891533, -0.5975324281643905, 5.679521366108817]}"
110,"{'pos': [-3.3270369718300317, -0.5937212797968441, 5.682844767817644]}"
111,"{'pos': [-3.3246786479757358, -0.5904254226133799, 5.686214154223019]}"
112,"{'pos': [-3.3225032439235878, -0.5877999940641931, 5.688944952037162]}"
113,"{'pos': [-3.319936588909673, -0.5858256145083965, 5.690921966085413]}"
114,"{'pos': [-3.3167895113645836, -0.5844221601545181, 5.692137501180034]}"
115,"{'pos': [-3.313063156608517, -0.5832569829682483, 5.69298966180862]}"
116,"{'pos': [-3.3089469822396613, -0.5817037481815951, 5.694123569011475]}"
117,"{'pos': [-3.3043256551657416, -0.5797870607854442, 5.695993499086645]}"
118,"{'pos': [-3.2991023210921573, -0.5775357070186123, 5.698973774579313]}"
119,"{'pos': [-3.293016272077311, -0.5748052572608929, 5.70282063577696]}"
120,"{'pos': [-3.285806195063684, -0.571610171766106, 5.707021061563225]}"
121,"{'pos': [-3.277960121422128, -0.5681106179398137, 5.7113495906612535]}"
122,"{'pos': [-3.2701204810811126, -0.5644827657261758, 5.7153463167606375]}"
123,"{'pos': [-3.2627412659778066, -0.5609616132019863, 5.718957262636022]}"
124,"{'pos': [-3.255933339951453, -0.5574702107221089, 5.72226480058121]}"
125,"{'pos': [-3.249626831469681, -0.5542308111312735, 5.7252350248820045]}"
126,"{'pos': [-3.2440260955747298, -0.5509427666085157, 5.728013782849934]}"
127,"{'pos': [-3.2391193432641803, -0.5469016433478628, 5.730696906638045]}"
128,"{'pos': [-3.234412219408019, -0.5420470211659576, 5.7335005280873865]}"
129,"{'pos': [-3.229720250932444, -0.5365491029305216, 5.736619738699241]}"
130,"{'pos': [-3.2248781654655776, -0.5305707403506993, 5.740357882353829]}"
131,"{'pos': [-3.219653057913007, -0.5243184921760261, 5.744982938057366]}"
132,"{'pos': [-3.21372975695306, -0.5179153928711078, 5.750318752897906]}"
133,"{'pos': [-3.2072829897726955, -0.5116028171831245, 5.755926358066371]}"
134,"{'pos': [-3.200914433200115, -0.5053086314311672, 5.761201821157913]}"
135,"{'pos': [-3.195048425310759, -0.4989551624106758, 5.76568082425819]}"
136,"{'pos': [-3.1893727646137484, -0.4927774003988977, 5.769256999017036]}"
137,"{'pos': [-3.1836938083778876, -0.487135541019121, 5.771911861634572]}"
138,"{'pos': [-3.177937575881197, -0.48237381668353874, 5.77421493632066]}"
139,"{'pos': [-3.1721193604426907, -0.4783743145047506, 5.776720788693787]}"
140,"{'pos': [-3.166107982802253, -0.4748432098329349, 5.779730005075377]}"
141,"{'pos': [-3.159963115444337, -0.4713976373779218, 5.783462419899093]}"
142,"{'pos': [-3.1536793967602974, -0.4677833864609337, 5.787758049641399]}"
143,"{'pos': [-3.1474357182985795, -0.4637507378791599, 5.792254276460069]}"
144,"{'pos': [-3.141163945723685, -0.458824630504533, 5.796728048435753]}"
145,"{'pos': [-3.1349010070553955, -0.45303150795122044, 5.800714737494914]}"
146,"{'pos': [-3.1288084655998305, -0.4468269766237478, 5.80399029875109]}"
147,"{'pos': [-3.1231559148197903, -0.4402434876557163, 5.8067186031113325]}"
148,"{'pos': [-3.1180192733555363, -0.43324918123267464, 5.809155459676842]}"
149,"{'pos': [-3.113329662748028, -0.42606120866589237, 5.811627443608177]}"
150,"{'pos': [-3.108570056229419, -0.41893461843410135, 5.814403174871095]}"
151,"{'pos': [-3.103586839343714, -0.41162062242229863, 5.817600513120424]}"
152,"{'pos': [-3.098422421583208, -0.40350137193358016, 5.8211210636304225]}"
153,"{'pos': [-3.093104229144443, -0.39405733846521945, 5.824485302906531]}"
154,"{'pos': [-3.0875269829827157, -0.38352456431685483, 5.827311839926865]}"
155,"{'pos': [-3.081839863826768, -0.37213940886911373, 5.829448888029556]}"
156,"{'pos': [-3.0763506711146094, -0.3605205436205972, 5.830687513997615]}"
157,"{'pos': [-3.0715320689101198, -0.34982005630940016, 5.831210216317551]}"
158,"{'pos': [-3.0672201893864046, -0.3405926027184579, 5.831625160796891]}"
159,"{'pos': [-3.0633578292122734, -0.3328102352217129, 5.832715659447505]}"
160,"{'pos': [-3.060037878688392, -0.32606484235786104, 5.8347802977154215]}"
161,"{'pos': [-3.0572063832945897, -0.3192797747323222, 5.837781406138214]}"
162,"{'pos': [-3.0544616239870717, -0.31203675514514273, 5.841475453113371]}"
163,"{'pos': [-3.0514969653103368, -0.30385372928036475, 5.84518054553866]}"
164,"{'pos': [-3.0481869423265757, -0.29511982402933506, 5.847977053456596]}"
165,"{'pos': [-3.044672590133533, -0.2863129574465218, 5.849658660807849]}"
166,"{'pos': [-3.0410937962310687, -0.2769586563998019, 5.850615380627539]}"
167,"{'pos': [-3.0377709253201752, -0.26703529294404554, 5.851369311499079]}"
168,"{'pos': [-3.035041662711973, -0.25695176402444153, 5.851853860722149]}"
169,"{'pos': [-3.0333059159566145, -0.24659084700280456, 5.8519460087654345]}"
170,"{'pos': [-3.03249248831643, -0.23612441999735792, 5.851748671093372]}"
171,"{'pos': [-3.0321739469991003, -0.22610029302419438, 5.8510145331082555]}"
172,"{'pos': [-3.0317357255807056, -0.2178132442389183, 5.8494668922848865]}"
173,"{'pos': [-3.0309166935424834, -0.21149603637104933, 5.847369841370271]}"
174,"{'pos': [-3.0300671383569675, -0.205809557398495, 5.844964232316368]}"
175,"{'pos': [-3.0294616717195937, -0.20013551533953652, 5.8422729462780545]}"
176,"{'pos': [-3.0295222002255437, -0.1940789102551582, 5.838632258543024]}"
177,"{'pos': [-3.0307503778487748, -0.1869062110000621, 5.8337253719828865]}"
178,"{'pos': [-3.0332834806924303, -0.17792264123086535, 5.828052356875045]}"
179,"{'pos': [-3.036842746572599, -0.16742679832786644, 5.821969776665034]}"
180,"{'pos': [-3.040817038822892, -0.15669595762060914, 5.815883418563847]}"
181,"{'pos': [-3.0450837805455455, -0.1464419253036589, 5.80993959691523]}"
182,"{'pos': [-3.0498080877605913, -0.13654279639264102, 5.804092042588028]}"
183,"{'pos': [-3.054798063944203, -0.12770313378065692, 5.798500287678023]}"
184,"{'pos': [-3.060016596055493, -0.12067248540800386, 5.792593396868022]}"
185,"{'pos': [-3.065285770021552, -0.11584025623297843, 5.786031911775099]}"
186,"{'pos': [-3.0705648130947463, -0.11283057166057692, 5.7788721010792]}"
187,"{'pos': [-3.075827961750868, -0.11123974783518704, 5.77096126552465]}"
188,"{'pos': [-3.0809898799291204, -0.11078040957361743, 5.762042370199274]}"
189,"{'pos': [-3.08666252834562, -0.11095870123058145, 5.75172503421723]}"
190,"{'pos': [-3.093733643677407, -0.1110351640439159, 5.740218462029522]}"
191,"{'pos': [-3.1025627169883467, -0.11106837990315599, 5.728409774207281]}"
192,"{'pos': [-3.1131470525865383, -0.11183614510761193, 5.716611816256081]}"
193,"{'pos': [-3.124950581828703, -0.11414787490916288, 5.705163079512063]}"
194,"{'pos': [-3.1373202009199352, -0.11832772394562831, 5.694064096595736]}"
195,"{'pos': [-3.149612958707882, -0.12429456428063038, 5.6829596437083305]}"
196,"{'pos': [-3.1614834555200035, -0.13157975464016025, 5.671602033813409]}"
197,"{'pos': [-3.173593922344649, -0.13960342637379605, 5.6596667167905075]}"
198,"{'pos': [-3.1867834602913985, -0.14801769004190748, 5.647177763325377]}"
199,"{'pos': [-3.2011416704202187, -0.1571146114337285, 5.633882599353531]}"
200,"{'pos': [-3.216630973207607, -0.1675684828996321, 5.619022999699801]}"
201,"{'pos': [-3.233028243919979, -0.18014771630532475, 5.602164409219291]}"
202,"{'pos': [-3.2499131442015994, -0.1951051566083891, 5.582956635396984]}"
203,"{'pos': [-3.2670448897401263, -0.21229274880322016, 5.561761605394335]}"
204,"{'pos': [-3.2845650353928444, -0.23132469828530122, 5.539447005256299]}"
205,"{'pos': [-3.3030901624634788, -0.2517301839121327, 5.516823196655943]}"
206,"{'pos': [-3.322532988179831, -0.2737750924804044, 5.495000284786572]}"
207,"{'pos': [-3.3419108850372212, -0.2980122919919997, 5.473832867241734]}"
208,"{'pos': [-3.3601974409017363, -0.3250277267874552, 5.452434462346256]}"
209,"{'pos': [-3.3770128185556674, -0.35550530724313056, 5.429894865799236]}"
210,"{'pos': [-3.3929666504900324, -0.38912346411968796, 5.405018282470576]}"
211,"{'pos': [-3.409414808854701, -0.425397795730748, 5.376787404107165]}"
212,"{'pos': [-3.4266163986716336, -0.4639953730720918, 5.345136178908426]}"
213,"{'pos': [-3.443842764809491, -0.5046989199358795, 5.311141848010564]}"
214,"{'pos': [-3.459512520470141, -0.5480580995638179, 5.276363821840778]}"
215,"{'pos': [-3.471660404009513, -0.5950094674752828, 5.2409396181109456]}"
216,"{'pos': [-3.4783929693599687, -0.6464106478488248, 5.20373745985327]}"
217,"{'pos': [-3.479059501872668, -0.7034354738596404, 5.164085300873639]}"
218,"{'pos': [-3.475163946334193, -0.7665557257672726, 5.121052666399952]}"
219,"{'pos': [-3.4697533707577786, -0.835334716466764, 5.071565040695405]}"
220,"{'pos': [-3.463808562331074, -0.9082869446140788, 5.013461151416192]}"
221,"{'pos': [-3.4572216247670076, -0.9835419219850033, 4.9466583275659435]}"
222,"{'pos': [-3.4495469606726648, -1.0598676784491299, 4.8718537550460566]}"
223,"{'pos': [-3.4386813953294046, -1.136685034975205, 4.788886645147148]}"
224,"{'pos': [-3.4209533876282663, -1.2133909700743333, 4.696446241917116]}"
225,"{'pos': [-3.3913014817835427, -1.2909232718103512, 4.5956085926169585]}"
226,"{'pos': [-3.3448323810776595, -1.3708682652153754, 4.488620062168417]}"
227,"{'pos': [-3.2790192717283464, -1.4532243814047168, 4.374257929559808]}"
228,"{'pos': [-3.193331088017102, -1.5354533522790843, 4.2515578204632565]}"
229,"{'pos': [-3.0897259455937034, -1.6151871201858334, 4.122097717910243]}"
230,"{'pos': [-2.9717977187162647, -1.6907518974469025, 3.988353597736759]}"
231,"{'pos': [-2.8408075837594065, -1.759837011848974, 3.8508315549680834]}"
232,"{'pos': [-2.696392528216339, -1.8187984129128238, 3.7082577339742415]}"
233,"{'pos': [-2.535597659305579, -1.8640548382880562, 3.5606303776990833]}"
234,"{'pos': [-2.353881412884912, -1.8924687344642535, 3.4084706934938636]}"
235,"{'pos': [-2.14833970452787, -1.8995809266884731, 3.2506834942251714]}"
236,"{'pos': [-1.9204811303504938, -1.8799703236674836, 3.0884336862248882]}"
237,"{'pos': [-1.674200812682305, -1.8309305545326662, 2.9268026522071766]}"
238,"{'pos': [-1.415148336372861, -1.7509447519429053, 2.772422484886759]}"
239,"{'pos': [-1.1486208269586207, -1.637847323926184, 2.6293785370855893]}"
240,"{'pos': [-0.8806566417935467, -1.4882384125817265, 2.500350807704792]}"
241,"{'pos': [-0.6167181173470996, -1.2992574965589139, 2.387355502019488]}"
242,"{'pos': [-0.36193421806265924, -1.0686513227245944, 2.2917484416026137]}"
243,"{'pos': [-0.123945233242303, -0.7945652405894763, 2.2162040130581584]}"
244,"{'pos': [0.08828421899036404, -0.4790239414014163, 2.165110340492161]}"
245,"{'pos': [0.26892573566535216, -0.1300501999062495, 2.1424470613685727]}"
246,"{'pos': [0.416582291227677, 0.24122174936770613, 2.1481041253743482]}"
247,"{'pos': [0.533732241517035, 0.6246272208675016, 2.1785703174372983]}"
248,"{'pos': [0.6272056833650921, 1.0111828765319755, 2.2285171819736305]}"
249,"{'pos': [0.7033081735716331, 1.3957694193758143, 2.2937290657822484]}"
250,"{'pos': [0.7481785698773084, 1.684334164452151, 2.352946641527633]}"
251,"{'pos': [0.7366811236004345, 1.7901293823322044, 2.384111197435359]}"
252,"{'pos': [0.5948014087535751, 2.0027651165789386, 2.472598936535731]}"
253,"{'pos': [0.517630431932544, 2.188563171016539, 2.540544842685122]}"
254,"{'pos': [0.4326735418525834, 2.36884110835343, 2.6141998246435696]}"
255,"{'pos': [0.3437562706695318, 2.5431964578591444, 2.693552319975642]}"
256,"{'pos': [0.24433491424032203, 2.712567710451245, 2.7802858128432555]}"
257,"{'pos': [0.13039223496550909, 2.8772642744711368, 2.8737616815609575]}"
258,"{'pos': [-0.00029746667842025024, 3.0375988154325855, 2.9717245892295803]}"
259,"{'pos': [-0.1473286744475261, 3.1934820171702736, 3.070847948851919]}"
260,"{'pos': [-0.30908273603249975, 3.3439863120932665, 3.168508065431845]}"
261,"{'pos': [-0.4841964973775593, 3.4867643843613245, 3.264373545178406]}"
262,"{'pos': [-0.6711157437897884, 3.618838798635425, 3.360742792782108]}"
263,"{'pos': [-0.8685665769006772, 3.737209276047143, 3.4607263921382385]}"
264,"{'pos': [-1.075888355738372, 3.840584448978528, 3.565523824600574]}"
265,"{'pos': [-1.2910292282156657, 3.9282257519551687, 3.674245637500615]}"
266,"{'pos': [-1.5121712691649343, 4.000385122818996, 3.785153150101652]}"
267,"{'pos': [-1.738462848768261, 4.056449459067497, 3.8959497911477654]}"
268,"{'pos': [-1.9696700458292085, 4.094995059144507, 4.004297371314317]}"
269,"{'pos': [-2.206338765917847, 4.113600758338262, 4.109367963377758]}"
270,"{'pos': [-2.447301887195173, 4.109759965528514, 4.211092094359434]}"
271,"{'pos': [-2.690168481818562, 4.0819183974220445, 4.309284817656491]}"
272,"{'pos': [-2.9316760889369418, 4.0315567308371945, 4.402728026259998]}"
273,"{'pos': [-3.1662899283496477, 3.9630075667453317, 4.4897373002159515]}"
274,"{'pos': [-3.3894258446676644, 3.881121672158135, 4.570290927000878]}"
275,"{'pos': [-3.599567835073863, 3.7892641874708746, 4.645219673372891]}"
276,"{'pos': [-3.796997753971784, 3.689318310866168, 4.716048724015634]}"
277,"{'pos': [-3.9825762136441853, 3.581329565237314, 4.785072218284163]}"
278,"{'pos': [-4.156742022116608, 3.46443681035891, 4.853722446189606]}"
279,"{'pos': [-4.320827324364924, 3.3370838801673472, 4.922295551817905]}"
280,"{'pos': [-4.476139689477521, 3.1986778501930195, 4.990319223619223]}"
281,"{'pos': [-4.62195666410132, 3.0515395824280698, 5.057375631091484]}"
282,"{'pos': [-4.756625788761205, 2.89877148196565, 5.123633165824324]}"
283,"{'pos': [-4.880227077731776, 2.741580328519522, 5.188685827573935]}"
284,"{'pos': [-4.992863917900514, 2.580825654798667, 5.251861875622597]}"
285,"{'pos': [-5.094752114848943, 2.416356618264673, 5.312635086347102]}"
286,"{'pos': [-5.186319671580309, 2.2469767305629107, 5.370314147887685]}"
287,"{'pos': [-5.268534130694266, 2.0706838329980704, 5.424078840656079]}"
288,"{'pos': [-5.342171502887464, 1.886609612093812, 5.473725822288039]}"
289,"{'pos': [-5.406414163509744, 1.6974302003901556, 5.520744636639559]}"
290,"{'pos': [-5.46012177116856, 1.5078041901914132, 5.566768448323225]}"
291,"{'pos': [-5.503803152724003, 1.3212647757736018, 5.61135372543667]}"
292,"{'pos': [-5.538712468755962, 1.1404377124786582, 5.652795948929438]}"
293,"{'pos': [-5.565221367457307, 0.9650521557209408, 5.691503525153477]}"
294,"{'pos': [-5.582533798036044, 0.7930018649212396, 5.730154448757166]}"
295,"{'pos': [-5.590685955125552, 0.621777212262243, 5.7691946185155345]}"
296,"{'pos': [-5.589156665459047, 0.44878096133287954, 5.808299586348183]}"
297,"{'pos': [-5.5775042401033215, 0.2725759655116147, 5.847296791077179]}"
298,"{'pos': [-5.5565801415151626, 0.09241234291304358, 5.88477700238926]}"
299,"{'pos': [-5.528668624060324, -0.09165787800045752, 5.916450528324165]}"
300,"{'pos': [-5.4962413956507365, -0.2796304887627972, 5.936455628094426]}"
301,"{'pos': [-5.458462925717768, -0.47095267116954087, 5.945450942840246]}"
302,"{'pos': [-5.413688402290762, -0.661652785897174, 5.948035844322417]}"
303,"{'pos': [-5.362367061184516, -0.8468639116287735, 5.944841082367676]}"
304,"{'pos': [-5.30420347448054, -1.0231687239791059, 5.937009858997185]}"
305,"{'pos': [-5.239834604175363, -1.189281121393333, 5.925600790735709]}"
306,"{'pos': [-5.170403117302712, -1.3457932707601499, 5.911034426224146]}"
307,"{'pos': [-5.096257810373414, -1.4940096667387313, 5.892232153226263]}"
308,"{'pos': [-5.0163751070581135, -1.6363500341616373, 5.867180746975917]}"
309,"{'pos': [-4.929120239706974, -1.7731688975188256, 5.837091845310169]}"
310,"{'pos': [-4.83477767568893, -1.9021289028928876, 5.8031124316068095]}"
311,"{'pos': [-4.734974515723127, -2.0213817953616378, 5.763905890820586]}"
312,"{'pos': [-4.631148347643727, -2.1303048437600003, 5.719295669486382]}"
313,"{'pos': [-4.5257991315827, -2.230077423235928, 5.669646021560652]}"
314,"{'pos': [-4.421163509251605, -2.322807329925315, 5.616098766741031]}"
315,"{'pos': [-4.316948362615222, -2.4104061254752462, 5.560945298430757]}"
316,"{'pos': [-4.211454522729105, -2.4942822978195713, 5.506219815034203]}"
317,"{'pos': [-4.1040915261168776, -2.5743083732889613, 5.4524867029443564]}"
318,"{'pos': [-3.9947584448590048, -2.6491135300386612, 5.399254025068688]}"
319,"{'pos': [-3.883694105526932, -2.716932173385757, 5.345984074074615]}"
320,"{'pos': [-3.771931476464609, -2.7759297100133287, 5.292181940483598]}"
321,"{'pos': [-3.6614160654024426, -2.8255425089694444, 5.2375041031626814]}"
322,"{'pos': [-3.5539030449513778, -2.865779145732291, 5.1815504801377195]}"
323,"{'pos': [-3.4497808225010025, -2.8968378571743854, 5.124811119673501]}"
324,"{'pos': [-3.348359994659347, -2.919907504064141, 5.067635141471042]}"
325,"{'pos': [-3.2490679049489826, -2.937202189328418, 5.009853651860396]}"
326,"{'pos': [-3.152682493402354, -2.9509324057146125, 4.951825371696332]}"
327,"{'pos': [-3.059646997081451, -2.9632387134467266, 4.893886907437388]}"
328,"{'pos': [-2.9699302695030134, -2.974369360360539, 4.83586822400838]}"
329,"{'pos': [-2.883762018454349, -2.982078295496906, 4.7779268915499715]}"
330,"{'pos': [-2.8009112904420994, -2.983078077056544, 4.720147492252759]}"
331,"{'pos': [-2.7203166388755955, -2.9750072109244656, 4.662689752017078]}"
332,"{'pos': [-2.6405608590747307, -2.9577250392157555, 4.606619685334435]}"
333,"{'pos': [-2.5622553645471826, -2.933761683038816, 4.553502904829619]}"
334,"{'pos': [-2.4887473362240176, -2.907650757997146, 4.505211877598624]}"
335,"{'pos': [-2.4215655213787737, -2.885018241298551, 4.461819969869212]}"
336,"{'pos': [-2.36094681514123, -2.868931334456961, 4.4218209799274995]}"
337,"{'pos': [-2.3072126614275295, -2.8574402015455678, 4.384493426094836]}"
338,"{'pos': [-2.2596997337420524, -2.8466655077529155, 4.349179693680288]}"
339,"{'pos': [-2.2164482833570367, -2.833086271215224, 4.314923437108435]}"
340,"{'pos': [-2.1759769393634705, -2.815201762347136, 4.282367712895038]}"
341,"{'pos': [-2.138767121518501, -2.7939087252247616, 4.252703487149174]}"
342,"{'pos': [-2.106211751071415, -2.7717717910353623, 4.2268020097318]}"
343,"{'pos': [-2.0783264240510078, -2.752202642113828, 4.204678593772318]}"
344,"{'pos': [-2.0548314085470323, -2.7380003765661725, 4.185925930708024]}"
